drug_schedule,description,trade_name_detected,is_billable,is_multi_dose,is_external,is_refrigerated,unit_of_issue,requires_cycle_count_witness,requires_issue_witness,requires_restock_witness,requires_return_witness,requires_waste_witness,Issue Unit Strength,order_quantity,order_unit,order_unit_price
0,.05 x 9 Equine Stomach Tube ,,1,0,1,0,EACH,0,0,0,0,0,,1,EACH,$0.00
0,0 PDS Suture,,1,0,1,0,PACK,0,0,0,0,0,,36,PACK ,$345.69
0,0.45% NaCl 1 liter,,1,0,0,0,BAG,0,0,0,0,0,,12,BAG,$63.33
0,0.45% NaCl 500ml ,,1,0,0,0,BAG,0,0,0,0,0,,18,BAG,$20.99
0,0.9% Nacl Fluids Bag  24X500ML,,1,0,0,0,BAG,0,0,0,0,0,,24,BAG,$111.08
0,0.9% NaCl Irrigation (1000mL),,1,0,0,0,EACH,0,0,0,0,0,,1,EACH,$0.00
0,1.5mm Endotracheal Tube,,1,0,1,0,EACH,0,0,0,0,0,,1,EACH,$0.00
0,1/2 Cut 5 Surgical Needle Regular,,1,0,0,0,EACH,0,0,0,0,0,,1,EACH,$0.00
0,1/4 in x 20yd Umbilical Tape,,1,0,1,0,EACH,0,0,0,0,0,,1,EACH,$0.00
0,10fr Endotracheal Introducer,BOUGIE ,1,0,1,0,EACH,0,0,0,0,0,,1,EACH,$13.27
0,10fr x 42 Green Feeding Tube,,1,0,0,0,EACH,0,0,0,0,0,,1,EACH,$1.29
0,10mL Blood Tube No adds,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$0.00
0,10ml Red Blood Collect Tube 100ct,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$0.00
0,11.0mm Endotracheal Tube,,1,0,1,0,EACH,0,0,0,0,0,,1,EACH,$4.49
0,12.0mm Endotracheal Tube,,1,0,1,0,EACH,0,0,0,0,0,,1,EACH,$8.99
0,12-16in Feeding Tube Collar,,1,0,1,0,EACH,0,0,0,0,0,,1,EACH,$42.61
0,12fr x 40cm Foley Cath 5mL Balloon,,1,0,0,0,EACH,0,0,0,0,0,,1,EACH,$10.41
0,12g x 1in Multi BLOOD collection,,1,0,0,0,BOX,0,0,0,0,0,,1,BOX,$11.78
0,12mL Curved Tip Syringe,,1,0,1,0,BOX,0,0,0,0,0,,50,SYR,$20.18
0,12mL Syringe,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$26.73
0,12qt Sharps Container,,1,0,1,0,EACH,0,0,0,0,0,,1,BOX,$0.00
0,140mL Syringe,,1,0,1,0,EACH,0,0,0,0,0,,1,EACH,$5.10
0,14g x 1.5 Needle,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$18.13
0,14g x 13cm Catheter Fenestrated ,,1,0,1,0,EACH,0,0,0,0,0,,1,EACH,$12.70
0,14g x 2.0 Needle Green,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$20.95
0,14g x 2in  Needle Hypodermic,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$23.02
0,14g x 9cm Super Core Biopsy Needle ,,1,0,1,0,EACH,0,0,0,0,0,,1,EACH,$25.91
0,15g x 22in Equine Trach Wash Kit,,1,0,1,0,EACH,0,0,0,0,0,,1,EACH,$13.78
0,16g x  9cm Biopsy Needle,Jorvet,1,0,1,0,PACKET,0,0,0,0,0,,1,PACKET,$0.00
0,16g x 0.75 Needle Hypoder Vet Gray ,Monoject,1,0,1,0,EACH,0,0,0,0,0,,1,EACH,$0.00
0,16G x 1 Needle,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$0.00
0,16g x 1.0 Needle Bevel Gray,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$18.54
0,16g x 1.5in Needle,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$21.49
0,16g x 1in Needle Hypodermic,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$18.67
0,16g x 2in Catheter,,1,0,1,0,EACH,0,0,0,0,0,,1,EACH,$0.58
0,16g x 8cm Catheter Fenestrated,,1,0,1,0,EACH,0,0,0,0,0,,1,EACH,$12.20
0,16Ga x 7.5cm Catheter ,MILA Centesis,1,0,1,0,EACH,0,0,0,0,0,,1,EACH,$26.00
0,16X1 100S Needle,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$0.00
0,18fr x 40cm Catheter Foley,,1,0,0,0,EACH,0,0,0,0,0,,1,EACH,$14.85
0,18G Catheter #50,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$60.27
0,18g x 1 1/2 Needle Hypodermic,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$11.35
0,18g x 1.0 Needle  Gray,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$0.00
0,18g x 1.16 Catheter,Insyte,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$29.02
0,18G x 1.5 Needle,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$4.57
0,18g x 1in Needle,Nippro,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$3.45
0,18g x 25cm Spinal Needle,,1,0,0,0,BOX,0,0,0,0,0,,1,BOX,$10.22
0,18g x 3/4in Butterfly Infusion Set ,,1,0,0,0,EACH,0,0,0,0,0,,1,EACH,$0.87
0,18g x 5/8 Needle Pink,,1,0,0,0,BOX,0,0,0,0,0,,1,BOX,$13.96
0,18g x 9cm SuperCore Biopsy Needle,,1,0,0,0,EACH,0,0,0,0,0,,1,EACH,$0.00
0,18GX1 Needle HYPO,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$6.74
0,19g x 1 1/2in Needle,Nippro,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$4.04
0,19g x 25cm Catheter Drum Long Line,,1,0,0,0,EACH,0,0,0,0,0,,1,EACH,$18.24
0,1in x 10yd Porous Tape,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$0.00
0,1mL Oral Syringe w/Cap,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$15.09
0,1mL Syringe,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$20.18
6,20% Fat Emulsion Inj,,1,0,0,0,BAG,0,0,0,0,0,200mg,1,BAG,$24.06
0,20g Catheter,,1,0,1,0,EACH,0,0,0,0,0,,50,EACH,$1.00
0,20G Needle,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$6.74
0,20g x 0.5 Needle Hypoder Vet Pink ,Monoject,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$0.00
0,20g x 1 1/2 in Needle,Nippro,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$3.45
0,20g x 1 SurFlo IV Catheter Pink ,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$0.00
0,20g x 1.25 Catheter,,1,0,1,0,EACH,0,0,0,0,0,,1,EA,$11.96
0,20g x 1.5 Needle Rigid Vet Syr Pink,Monoject,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$0.00
0,20g x 1in Catheter ,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$1.21
0,20g x 1in Needle,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$10.49
0,20g x 20cm Catheter Drum Long Line,,1,0,0,0,EACH,0,0,0,0,0,,1,EACH,$18.24
0,20mL Syringe,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$20.18
0,21g x 1 Needle,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$10.10
0,22g  x 1.5 Needle,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$3.04
0,22g Catheter,Terumo,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$1.27
0,22G Winged Infusion Set,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$0.73
0,22g x 1 1/2in Needle,Nippro,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$3.82
0,22g x 1.0 Needle Hypode Vet Blue,Monoject,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$0.00
0,22g x 25cm Catheter Drum Long Line,,1,0,0,0,EACH,0,0,0,0,0,,1,EACH,$18.24
0,22g x 3/4 Needle,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$10.00
0,22g x 3cc Syringe,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$13.54
0,23g x 16ml Syringe Pico 70,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$454.00
0,23g x 3/4 Needle,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$3.70
0,24g Catheter,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$1.00
0,25g x 1 Syringe,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$5.50
0,25g x 5/8 Needle Hypodermic Vet Red,Monoject,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$0.00
0,2in Cast Padding ,,1,0,1,0,BAG,0,0,0,0,0,,1,BAG,$16.11
0,2in x 3in Telfa Pad,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$4.70
0,3 Fr x 25 Nasogastric Tube,,1,0,0,0,EACH,0,0,0,0,0,,1,EACH,$0.00
0,"3.5"" Backhaus Towel Clamp",,1,0,1,0,EACH,0,0,0,0,0,,1,EACH,$0.00
0,30in Elizabethan Collar,,1,0,1,0,EACH,0,0,0,0,0,,1,EACH,$4.46
0,35 Regular Skin Stapler,,1,0,1,0,EACH,0,0,0,0,0,,1,EACH,$0.00
0,3cc LL Syringe,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$0.00
0,3in x 4in  Telfa Pad,,1,0,1,0,EACH,0,0,0,0,0,,100,EACH,$18.88
0,3in x 75in Bandage Stretch ,,1,0,1,0,EACH,0,0,0,0,0,,1,EACH,$1.55
0,3inch Cast tape ,Deltalite,1,0,1,0,ROLL,0,0,0,0,0,,10,ROLL,$40.14
0,3mL Syringe,,1,0,1,0,EACH,0,0,0,0,0,,1,EACH,$0.00
0,3mm Biopsy Punch,,1,0,0,0,EACH,0,0,0,0,0,,1,EACH,$1.74
0,3x3 Gauze Sponge 12 PLY ,Curity,1,0,1,0,EACH,0,0,0,0,0,,1,EACH,$0.00
0,45cc Clear Plastic Bttl,,1,0,1,0,EACH,0,0,0,0,0,,1,EACH,$56.84
0,4in Conform Stretch Bandage ,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$3.25
0,4in Vetrap Assorted,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$0.00
0,4x4 Gauze 4 PLY,Versalon,1,0,1,0,SLEEVE,0,0,0,0,0,,1,SLEEVE,$0.00
0,5cc Prima Syringe,,1,0,1,0,EACH,0,0,0,0,0,,1,EACH,$36.86
0,5in Mila Centesis Valve/Drain Adap,,1,0,0,0,EACH,0,0,0,0,0,,1,EACH,$47.50
0,5inch Cast tape,Deltalite,1,0,1,0,ROLL,0,0,0,0,0,,10,ROLL,$83.80
0,5ml Blood Tubes 100ct,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$28.00
0,5ml Lavender Blood Collection Tube ,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$0.00
0,5ml Red Blood Collection Tube,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$0.00
0,60 drops/ml IV Administration set,,1,0,0,0,EACH,0,0,0,0,0,,1,EACH,$5.31
0,60 x 90cm Buster Drape ,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$31.89
0,60cc LS Syringe,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$21.98
0,60mL Syringe,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$20.18
0,6mL Syringe,,1,0,1,0,BOX,0,0,0,0,0,,1,BOX,$20.18
0,7.5mm Endo trachealTube,,1,1,1,0,UNIT,0,0,0,0,0,,1,UNIT,$1.41
0,8fr 30sm Foley Catheter,FC830,1,0,0,0,EACH,0,0,0,0,0,,1,EACH,$0.00
0,8fr x 30cm Foley Cath 3mL Balloon ,,1,0,0,0,EACH,0,0,0,0,0,,5,EACH,$11.92
0,8qt Sharps Container,,1,0,1,0,EACH,0,0,0,0,0,,1,EACH,$0.00
6,Abbott Freestyle Libre Sensor 3 ,,1,0,0,0,EACH,0,0,0,0,0,,1,EACH,$91.72
6,Acepromazine 10mg/ml Inj,,1,1,0,0,ML,0,0,0,0,0,10 mg,50,ML,$24.79
6,Acepromazine 25mg Tablet,,1,1,0,0,TAB,0,0,0,0,0,25 mg,100,TAB,$46.93
2,Acetamin/Codeine 120/12mg Oral 5mL,Tylenol 3,1,1,0,0,ML,1,1,1,1,1,132mg,473,ML,$507.85
6,Acetaminophen 32 mg/mL Oral ,Tylenol,1,1,0,0,ML,0,0,0,0,0,32 mg,59,ML,$4.72
6,Acetaminophen 325 mg Tablet,Tylenol,1,1,0,0,TAB,0,0,0,0,0,325 mg,100,TAB,$0.00
6,Acetaminophen 500 mg Tablet,Tylenol,1,1,0,0,TAB,0,0,0,0,0,500 mg,100,TAB,$2.06
2,Acetamin/Codeine 300/30MG Tablet,Tylenol 3,1,1,0,0,TAB,1,1,1,1,1,330mg,100,TAB,$21.89
6,AcetaZOLAMIDE 250 mg Tablet,Diamox,1,1,0,0,TAB,0,0,0,0,0,250 mg,100,TAB,$28.70
6,Acetylcysteine 20% Inj,,1,1,0,0,ML,0,0,0,0,0,200mg,6,ML,$43.16
2,Actacode Codeine Linctus 25mg/mL Inj,,1,1,0,0,ML,1,1,1,1,1,25 mg,100,ML,$0.28
