Product Id,"Product External Id","Product Is Active","Product Division","Product Code","Product Name","Product Description","Primary Product Group Id","Primary Product Group","Product Type","Supplier Id","Supplier Code","Supplier Units Per Outer",Supplier,"Product Cost Price","Product Markup(%)","Product Price","Product TAX","Product Price Based On","Product Tracking Level","Product Warning Text","Product Minimum Inventory","Product Minimum Reorder","Product Minimum Order Type","Product Has Direct Cost","Product Available on Web","Product TAX Code","Product RRP","Product Notes","Product Is Purchased","Product Is Sold","Product Purchases Account","Product Sales Account","Product Inventory Account","Product Barcode","Product Is Controlled Drug","Product Desexes Patient","Product Triggers Patient Death","Product Patient Death Reason","Product Medication Text","Product Default Sell Units","Product Requires Prescription","Product Generates Prescription","Product RVM Direction of Use","Product RVM Length of Treatment Course","Product RVM Dose To Be Given","Product RVM Route of Administration","Product RVM Frequency of Treatments","Product RVM Length/Number of Treatments","Product RVM Withholding Period for Milk","Product RVM Withholding Period for Meat","Product RVM Maximum Dispense Quantity","Product RVM Maximum Dispense Frequency (days)","Auto Generate Product Type","Product Default Label Qty","Product Label Is Fixed Number","Product Identifier (NDC)","Product Schedule/Class","Product Lowest Dispensable Unit","Product Lowest Dispensable Quantity","Product Concentration","Product Concentration Unit","Product Concentration Volume","Product Concentration Diluted","Product Concentration Diluted Unit","Product Concentration Diluted Volume","Product Default Dosage Calculation Method","Product Default Route of Administration","Product Default Infusion Rate Per","Product Is CRI","Product Sheet Group","Product Service Fee Id","Product Service Fee Code","Product Service Fee External Reference"
2,,YES,1,IMPORTED,Imported,Imported,1,Administration,Standard,,,1,,0,0,0,0.0000,Price,No,,0,0,MINIMUM,NO,NO,E,0,,NO,YES,,,,,NO,,NO,,,1.0000,NO,NO,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,,,
4,,YES,1,ACCOUNTFEE,"Account Fee",,1,Administration,Procedure,,,1,,0,0,0,0.0000,Price,No,,0,0.0000,MINIMUM,NO,NO,E,0,,NO,YES,0,,0,,NO,,NO,,,1.0000,NO,NO,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,,,
7,,YES,1,PAYMENTSURCH,"Payment Surcharge",,1,Administration,Standard,,,1,,0,0,0,0.0000,Price,No,,0,0.0000,MINIMUM,NO,NO,E,0,,NO,YES,0,,0,,NO,,NO,,,1.0000,NO,NO,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,,,
12,MAH_c7748352-a53b-4631-890c-1e79f72cc76c,YES,1,MAH_2781,"Hill's Feline C/D Ocean Fish 4 lb.",,4,"Prescription Foods",Medication,,,1,,24.99,4,25.9935,1.9365,Markup,Product,,0,0.0000,MINIMUM,YES,NO,7.45,0,,YES,YES,0,,0,2781,NO,,NO,,,1.0000,YES,YES,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,,,
13,MAH_964347cf-3ae9-4587-8ef3-3c75285785cf,YES,1,MAH_585002,"RC Urinary SO Feline Treats",,4,"Prescription Foods",Medication,,,1,,3.79,131.93,8.7855,0.6545,Markup,Product,,0,0.0000,MINIMUM,YES,NO,7.45,0,,YES,YES,0,,0,585002,NO,,NO,,,1.0000,YES,YES,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,,,
14,MAH_75a5ea37-91cf-4e70-b2d1-d268404947ab,YES,1,MAH_SA380,"Antech Thyroid Profile 3",,5,Lab,Diagnostic,,,1,,164.99,50,247.485,0.0000,Markup,No,,0,0.0000,MINIMUM,YES,NO,E,0,"Minimum Price: 10000133.4400",NO,YES,0,,0,,NO,,NO,,,1.0000,NO,NO,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,,,
16,MAH_60daf854-62e9-4f0c-a3da-55615620743c,YES,1,MAH_10554,"Hill's Feline Metabolic+Urinary+Stress 6",,4,"Prescription Foods",Medication,,,1,,47.99,0.01,47.9944,3.5756,Markup,Product,,0,0.0000,MINIMUM,YES,NO,7.45,0,,YES,YES,0,,0,10554,NO,,NO,,,1.0000,YES,YES,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,,,
18,MAH_c91315a0-6b1f-4780-80ac-f9242d79a3cd,YES,1,MAH_PH1,"Amoxicillin 150mg Tablet",Antibiotic,6,Pharmacy,Medication,33,,1,"Henry Schein",0.49,100,0.98,0.0730,Markup,Product,,0,0.0000,MINIMUM,YES,NO,7.45,0,,YES,YES,0,,0,PH1,NO,,NO,,"Give #INPUT# tablet(s) by mouth every #INPUT# hour(s).",1.0000,YES,YES,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,1827,SERVICEFEE_($7.0000)_(7.45),
20,MAH_2fe505c3-a49b-493f-b259-bef763f4a6b6,YES,1,MAH_ENGAS,"PPVD K9 EN Gastroenteric 25lb",,4,"Prescription Foods",Medication,33,,1,"Henry Schein",75.78,49.1,112.99,8.4178,Price,Product,,0,0.0000,MINIMUM,YES,NO,7.45,0,,YES,YES,0,,0,ENGAS,NO,,NO,,,1.0000,YES,YES,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,,,
21,MAH_2b1f054b-d302-4223-9706-6b0bf92451ce,YES,1,MAH_230,"Heartgard Plus 6 months (under 25 lbs) B",,6,Pharmacy,Medication,,,1,,30.85,100,61.7,4.5967,Markup,Product,,0,0.0000,MINIMUM,YES,NO,7.45,0,,YES,YES,0,,0,230,NO,,NO,,,1.0000,YES,YES,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,,,
