NDC,Proprietary Name,Non Proprietary Name,Ingredient List,Labeler Name,Product Type,Marketing Category,Application Number or Monograph ID,Link,Inactivation Date,Reactivation Date
62157-446-01,AX Pharmaceutical Corp,ATENOLOL,ATENOLOL,AX Pharmaceutical Corp,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/2037a82a-1bc9-4808-8dda-71096d32799a/2037a82a-1bc9-4808-8dda-71096d32799a.xml,,
62157-409-01,X,CARPROFEN,CARPROFEN,AX Pharmaceutical Corp,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/4860e4ee-c3c8-46c4-86bd-1ffeeeab4709/4860e4ee-c3c8-46c4-86bd-1ffeeeab4709.xml,,
72969-013-10,CISAPRIDE MONOHYDRATE,CISAPRIDE MONOHYDRATE,CISAPRIDE MONOHYDRATE,PROFESSIONAL GROUP OF PHARMACISTS NEW YORK LLC,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/cdc7d758-83c0-4356-8766-197f2e4e6ce9/cdc7d758-83c0-4356-8766-197f2e4e6ce9.xml,,
62157-458-01,AX Pharmaceutical Corp,AVANAFIL,AVANAFIL,AX Pharmaceutical Corp,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/83f252bd-8ef6-41f7-9c84-c1214a33117f/83f252bd-8ef6-41f7-9c84-c1214a33117f.xml,,
73309-172-02,Dantrolene Sodium,DANTROLENE SODIUM,DANTROLENE SODIUM,"BLUEBAY SHANDONG CO.,LTD",BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/dbfb82c3-26f7-4858-9610-1ebc8553f569/dbfb82c3-26f7-4858-9610-1ebc8553f569.xml,,
62157-744-01,CISAPRIDE MONOHYDRATE,CISAPRIDE MONOHYDRATE,CISAPRIDE MONOHYDRATE,AX Pharmaceutical Corp,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/41b1f69e-94b5-4d00-902a-073dddc02da7/41b1f69e-94b5-4d00-902a-073dddc02da7.xml,,
58597-8171-9,CEFTIOFUR FREE ACID,CEFTIOFUR FREE ACID,CEFTIOFUR,AMERICAN PHARMACEUTICAL INGREDIENTS LLC,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/6f684cce-1d5b-4af4-a798-65b123eb64c1/6f684cce-1d5b-4af4-a798-65b123eb64c1.xml,,
73361-001-01,Chloramphenicol Palmitate,CHLORAMPHENICOL PALMITATE,CHLORAMPHENICOL PALMITATE,Wang Pharmaceuticals & Chemicals,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/2f4b3706-8d50-4f24-8adf-a67baa3d6386/2f4b3706-8d50-4f24-8adf-a67baa3d6386.xml,,
73309-089-03,Toceranib Phosphate,TOCERANIB PHOSPHATE,TOCERANIB PHOSPHATE,"BLUEBAY SHANDONG CO.,LTD",BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/cd4ff295-2a9c-43d0-b15a-87ba7255450c/cd4ff295-2a9c-43d0-b15a-87ba7255450c.xml,,
62157-219-01,X,CHLOROQUINE PHOSPHATE,CHLOROQUINE PHOSPHATE,AX Pharmaceutical Corp,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/4acaf3fd-4182-4c74-8414-e87ee28bca1c/4acaf3fd-4182-4c74-8414-e87ee28bca1c.xml,,
73309-134-01,Nitrofurantoin,NITROFURANTOIN,NITROFURANTOIN,"BLUEBAY SHANDONG CO.,LTD",BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/0d29aace-0d26-44a4-b7d4-720bec1ac5d6/0d29aace-0d26-44a4-b7d4-720bec1ac5d6.xml,,
62157-480-01,AX Pharmaceutical Corp,LOMUSTINE,LOMUSTINE,AX Pharmaceutical Corp,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/2c4c6371-336c-45f6-864e-7e53c8726205/2c4c6371-336c-45f6-864e-7e53c8726205.xml,,
73309-040-01,Aminopentamide Sulfate,AMINOPENTAMIDE SULFATE,AMINOPENTAMIDE SULFATE,"Bluebay Shandong Co, LTD.",BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/70d6bf5b-0a7f-4571-8854-9253eb6aab1d/70d6bf5b-0a7f-4571-8854-9253eb6aab1d.xml,,
73309-131-01,Ivermectin,IVERMECTIN,IVERMECTIN,"BLUEBAY SHANDONG CO.,LTD",BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/692f5988-aed5-4493-9d89-95bfbe652977/692f5988-aed5-4493-9d89-95bfbe652977.xml,,
