Vetcove ID,Date,Hospital,Name,Order #,PO Number,Supplier,Manufacturer,Manufacturer Number,Primary Category,Secondary Category,GL Code,Vetcove Item ID,Cost per Dose,Units,Unit Price,Unit Measurement,List Price,Quantity,Total Price,Item Status,Supplier's SKU
498489117,2025-12-29,Animal Care Center + Pet House Suites,MURICIN® (mupirocin 2%) Ointment: 15g,6886986-0,VC0NUCWQ,Penn Vet,Dechra,42015,Pharmaceuticals,Dermatologic Preparations,Inventory - Medicine (1331),192197,1.118,15.0,16.77,g,,1,16.77,Completed,PHA420-15
498489118,2025-12-29,Animal Care Center + Pet House Suites,Neopolydex Ophthalmic Ointment: 3.5g,6886986-0,VC0NUCWQ,Penn Vet,Multiple Manufacturers,2420879535,Pharmaceuticals,Ophth Preps and Treatments,Inventory - Medicine (1331),38192,1.3457,3.5,4.71,g,,1,4.71,Completed,VED1812
498489126,2025-12-29,Animal Care Center + Pet House Suites,EUTHASOL® (pentobarbital sodium and phenytoin sodium) Euthanasia Solution: 100ml,6886986-0,VC0NUCWQ,Penn Vet,Virbac,710101,Pharmaceuticals,Euthanasia Agents,Inventory - Medicine (1331),27677,0.8277,100.0,82.77,ml,,1,82.77,Completed,PVS111
474613043,2025-09-17,Animal Care Center + Pet House Suites,VETSCAN VUE+ RENTAL CHARGE,1021100997,,Zoetis,,,,,,874921,0.0,1.0,0.0,purchasing unit,,2,0.0,Processed,20003746
474613036,2025-09-17,Animal Care Center + Pet House Suites,000000000010023322,1021100997,,Zoetis,,,Diagnostics Laboratory,Reagent/Accessories-Hematology,,381724,0.0,1,0.0,dose,,1,0.0,Completed,10023322
474613037,2025-09-17,Animal Care Center + Pet House Suites,VetScan HM5 Normal Control: 2ml,1021100997,,Zoetis,Zoetis,770-9029,Diagnostics Laboratory,Reagent/Accessories-Hematology,Lab Supplies (5630),118139,0.0,1.0,0.0,kit,29.0,1,0.0,Completed,10023314
474613048,2025-09-17,Animal Care Center + Pet House Suites,VS HUB RENTAL CHARGE,1021100997,,Zoetis,,,,,,839708,0.0,1.0,0.0,purchasing unit,,1,0.0,Processed,20003800
474613047,2025-09-17,Animal Care Center + Pet House Suites,Fuse Install Accessory Kit,1021100997,,Zoetis,,,Services & Fees,Miscellaneous Services & Fees,,440434,0.0,1,0.0,dose,,1,0.0,Completed,10023149
474613045,2025-09-17,Animal Care Center + Pet House Suites,VETSCAN UA-RENTAL CHARGE,1021100997,,Zoetis,,,,,,866244,0.0,1.0,0.0,purchasing unit,,1,0.0,Processed,20002330
474613019,2025-09-17,Animal Care Center + Pet House Suites,VetScan HM5 Reagent Pack: Each,1021100998,,Zoetis,Zoetis,770-9000,Diagnostics Laboratory,Reagent/Accessories-Hematology,Inventory Asset - Lab Supplies (1334),118137,512.86,1.0,512.86,kit,666.05,1,512.86,Completed,10023312
488633996,2025-11-13,Animal Care Center + Pet House Suites,"Nutramax Proviable-Forte Kit For Medium & Large Dogs, 30Ml, 5 Count",6207811092,VC0N8Y9A,Patterson,Nutramax,PROVFT5KP30,Nutraceuticals,Probiotics,Inventory - Medicine (1331),189253,18.9,5.0,94.5,each,,1,94.5,Completed,078926867
488634010,2025-11-13,Animal Care Center + Pet House Suites,"Maropitant Citrate Tablets: 24mg, 4 Count",6207811092,VC0N8Y9A,Patterson,Multiple Manufacturers,86117002817,Pharmaceuticals,Antiemetics,Inventory - Medicine (1331),596819,2.5925,4.0,10.37,tablet,,1,10.37,Completed,078949958
488634002,2025-11-13,Animal Care Center + Pet House Suites,Vanguard CIV H3N2/H3N8 Vaccine: 25 x 1 Dose,6207811092,VC0N8Y9A,Patterson,Zoetis,10016338,Vaccines,Vaccines and Other Biologicals,Inventory - Medicine (1331),234428,13.23,25.0,330.75,dose,,1,330.75,Completed,078931121
488633999,2025-11-13,Animal Care Center + Pet House Suites,MURICIN® (mupirocin 2%) Ointment: 15g,6207811092,VC0N8Y9A,Patterson,Dechra,42015,Pharmaceuticals,Dermatologic Preparations,Inventory - Medicine (1331),192197,1.118,15.0,16.77,g,,1,16.77,Completed,078703709
478539269,2025-10-02,Animal Care Center + Pet House Suites,"Soda Lime, Carbon Dioxide Absorbent Granules 3lb Bottle",GNH3021,VC0MLPCB,Covetrus,Covetrus,SOD-01-3LB,Anesthesia,CO2 Adsorbent,Medical Equipment Lease (5350),716910,1.8833,3.0,5.65,lb,7.28,3,16.95,Completed,074176
487924359,2025-11-10,Animal Care Center + Pet House Suites,"Clindamycin Hcl Capsules: 150Mg, 100 Count",6840312-0,VC0N6JZ9,Penn Vet,Multiple Manufacturers,63304069201,Pharmaceuticals,Antimicrobial Agents,Inventory - Medicine (1331),120093,0.0611,100.0,6.11,capsule,,1,6.11,Completed,VED1054
487302315,2025-11-10,Animal Care Center + Pet House Suites,"Nitrile Exam Gloves Powder Free: Medium, 100 Count",6207773659,VC0N6IWP,Patterson,Multiple Manufacturers,RHI-UNB5M100BX,Apparel and Drapes,Miscellaneous Protective Wear,General Supplies - Medical (5300),81196,0.0605,100.0,6.05,gloves,,2,12.1,Completed,078924290
487302313,2025-11-10,Animal Care Center + Pet House Suites,"Carprofen Chewable Tablets: 75mg, 180 Count",6207773659,VC0N6IWP,Patterson,Multiple Manufacturers,21306855,Pharmaceuticals,Antiinflammatories,Inventory - Medicine (1331),509260,0.359,180.0,64.62,tablet,,1,0.0,Processed,078945299
487302310,2025-11-10,Animal Care Center + Pet House Suites,"Claro Otic Solution: 1 ml, 1 x 10 Count",6207773659,VC0N6IWP,Patterson,Elanco,90209438,Pharmaceuticals,Otic Preparations,Inventory - Medicine (1331),156413,18.94,10.0,189.4,tube,,1,189.4,Completed,078950712
485199683,2025-10-30,Animal Care Center + Pet House Suites,"VS2 Rotors: T4/Cholesterol, 12 Count",1021366584,VC0N1IH9,Zoetis,Zoetis,500-0037-12,Diagnostics Laboratory,Reagents/Accessories-Chemistry,Inventory Asset - Lab Supplies (1334),118163,20.4225,12.0,245.07,each,315.4,1,245.07,Completed,10023215
485199682,2025-10-30,Animal Care Center + Pet House Suites,"VS2 Rotors: Prep Profile II, 12 Count",1021366584,VC0N1IH9,Zoetis,Zoetis,500-0026-12,Diagnostics Laboratory,Reagents/Accessories-Chemistry,Inventory Asset - Lab Supplies (1334),118160,22.5692,12.0,270.83,each,348.55,2,541.66,Completed,10023211
486011232,2025-11-03,Animal Care Center + Pet House Suites,"Solensia: 1ml vial, 6 Count",1021382066,VC0N2RD3,Zoetis,Zoetis,10023517,Pharmaceuticals,Antiinflammatories,Inventory - Medicine (1331),515499,43.6833,6.0,262.1,vial,262.1,1,262.1,Completed,10023517
486011230,2025-11-03,Animal Care Center + Pet House Suites,"Culture Swabs: Aerobic/Anaerobic, 5 Count",1021382066,VC0N2RD3,Zoetis,Zoetis,10025242,Diagnostics Laboratory,Culture Collection Incubation,Lab Supplies (5630),541053,0.0,5.0,0.0,each,0.01,5,0.0,Completed,10025242
486011231,2025-11-03,Animal Care Center + Pet House Suites,"Librela Solution 1mL vial: 10mg/mL (22.2-44.1 lb), 6 count",1021382066,VC0N2RD3,Zoetis,Zoetis,10022807,Pharmaceuticals,Antiinflammatories,Inventory - Medicine (1331),605234,226.8,1.0,226.8,box,226.8,1,226.8,Completed,10022807
486011229,2025-11-03,Animal Care Center + Pet House Suites,Convenia Injectable: 10ml,1021382066,VC0N2RD3,Zoetis,Zoetis,10001498,Pharmaceuticals,Antimicrobial Agents,Inventory - Medicine (1331),142684,42.996,10.0,429.96,ml,423.5,1,429.96,Completed,10001498
486951313,2025-11-06,Animal Care Center + Pet House Suites,VetScan Canine Flex4 Rapid Test: 25 Count,1021412682,VC0N5PXL,Zoetis,Zoetis,510-0006-25,Diagnostics,Diagnostic Aids - Clinical,Inventory Asset - Lab Supplies (1334),236210,17.0864,25.0,427.16,test,464.7,1,427.16,Completed,10021677
436861690,2025-04-28,Animal Care Center + Pet House Suites,"Cytopoint: 40mg (30.1-40lb), 1 Vial (Ordered in Multiples of 5)",1020182563,VC0KAOBR,Zoetis,Zoetis,10022182,Pharmaceuticals,Dermatologic Preparations,,298499,48.31,1.0,48.31,vial,49.3,5,241.55,Completed,10022182
487302316,2025-11-10,Animal Care Center + Pet House Suites,"Apoquel Tablets: 5.4mg, 100 Count",6207773659,VC0N6IWP,Patterson,Zoetis,10021175,Pharmaceuticals,Immunosuppressants,Inventory - Medicine (1331),142436,1.8522,100.0,185.22,tablet,,1,185.22,Completed,510066472
487302311,2025-11-10,Animal Care Center + Pet House Suites,PPVD Feline HA Hydrolyzed Formula: 4lbs,6207773659,VC0N6IWP,Patterson,Nestle Purina,003810014541,Foods,"Diets, Therapeutic",Inventory Asset - Food (1333),189963,28.84,1.0,28.84,box,,1,28.84,Completed,078846683
487302317,2025-11-10,Animal Care Center + Pet House Suites,ProHeart 12: 10ml,6207773659,VC0N6IWP,Patterson,Zoetis,10020256,Parasiticides,Heartworm Parasiticides,Inventory Asset - Preventatives (1335),303927,456.11,1.0,456.11,bottle,,1,456.11,Completed,078937039
446106695,2025-06-02,Animal Care Center + Pet House Suites,"Rapz Eazy Tear Natural World Cohesive Bandage Variety Pack: 2"" x 5.5yd, 12 Count",6671272-0,VC0KSANC,Penn Vet,Millpledge,AC09299,Wound Care and White Goods,Cohesive Bandage,,597151,1.4458,12.0,17.35,roll,,1,17.35,Completed,MPAC09299
452297314,2025-06-23,Animal Care Center + Pet House Suites,"Nitrile Exam Gloves: Powder Free, Small, 100 Count",6694117-0,VC0L472T,Penn Vet,Multiple Manufacturers,7023434,Apparel and Drapes,Exam Gloves,,581593,0.0477,100.0,4.77,gloves,,2,9.54,Completed,GLVEXN01S
452297305,2025-06-23,Animal Care Center + Pet House Suites,"Pro-Pectalin Oral Paste Situational Diarrhea Relief with Kaolin, Pectin and Probiotics for Dogs and Cats 15 cc",6694117-0,VC0L472T,Penn Vet,Vetoquinol,410815,Pharmaceuticals,Antacid and Absorbent Preps,,194772,0.942,15.0,14.13,ml,,1,14.13,Completed,VQL520015
452297313,2025-06-23,Animal Care Center + Pet House Suites,"Nitrile Exam Gloves Powder Free: Medium, 100 Count",6694117-0,VC0L472T,Penn Vet,Multiple Manufacturers,RHI-UNB5M100BX,Apparel and Drapes,Miscellaneous Protective Wear,,81196,0.0477,100.0,4.77,gloves,,2,9.54,Completed,GLVEXN02M
451841603,2025-06-23,Animal Care Center + Pet House Suites,Catalyst Urine P:C Ratio (6),5105300950,VC0L4755,Idexx,IDEXX,98-11008-01,Diagnostics Laboratory,Reagents/Accessories-Chemistry,,176153,20.35,6.0,122.1,kit,129.6,1,122.1,Completed,98-11008-01
451841598,2025-06-23,Animal Care Center + Pet House Suites,Catalyst SDMA and Total T4: 12 Count,5105300950,VC0L4755,Idexx,IDEXX,99-0017167,Diagnostics Laboratory,Analyzers: Chemistry,,535577,27.95,12.0,335.4,test,425.88,1,335.4,Completed,99-0017167
451725726,2025-06-19,Animal Care Center + Pet House Suites,"PureVax® Feline Rabies: 0.5ml, 25 Count",2104228904,4503737030,Boehringer Ingelheim,Boehringer Ingelheim,159730,Vaccines,Vaccines and Other Biologicals,Inventory - Medicine (1331),433495,12.1912,25.0,304.78,dose,423.3,1,304.78,Completed,159730
451607354,2025-06-19,Animal Care Center + Pet House Suites,"Genia Velfast Self-Grip K9 E-Collars: 30 cm, Each",6206606436,VC0L2XBJ,Patterson,Genia,306462,Wound Care and White Goods,Elizabethan and Recovery Collars,,853774,15.52,1.0,15.52,purchasing unit,,1,15.52,Completed,078942397
